id;lat;lon;z;weight;panoid;type;typename;plat;plon;pz;azimuth
7684405;55.744417;37.601994;145.979965;236.118;7497565;16;Кирпич;55.7441;37.602;145.186874389648;294
7684406;55.760327;37.610462;170.597839;236.029;7496758;25;Остановка и стоянка запрещена;55.7607;37.6102;171.743087768555;136
7684407;55.757449;37.598985;167.741043;236.016;7499831;34;Пешеходный переход наземный;55.7575;37.5989;166.619430541992;187
7684408;55.759199;37.611527;165.037918;235.395;7496775;34;Пешеходный переход наземный;55.7593;37.6115;163.847412109375;251
7684409;55.769469;37.597092;177.433441;235.304;7497132;51;Движение прямо или направо;55.7693;37.5973;177.071914672852;299
7684410;55.76055;37.605005;170.943253;235.19;7499422;25;Остановка и стоянка запрещена;55.7603;37.6048;170.236190795898;59
7684411;55.752774;37.589452;161.159286;234.915;7500492;34;Пешеходный переход наземный;55.7525;37.589;160.762664794922;1
7684412;55.752767;37.583884;159.483414;234.478;7500457;34;Пешеходный переход наземный;55.7525;37.5833;159.168487548828;25
7684413;55.744735;37.597332;152.415665;234.14;7498791;57;Осторожно дети;55.7447;37.5968;152.024658203125;87
7684414;55.739329;37.596003;151.745605;233.725;7498361;57;Осторожно дети;55.7395;37.5958;149.47135925293;198
7684415;55.744591;37.613461;144.514862;233.714;7498693;34;Пешеходный переход наземный;55.7445;37.6137;142.935485839844;312
7684416;55.761303;37.606037;174.888275;233.6;7499474;34;Пешеходный переход наземный;55.7612;37.6061;173.13801574707;305
7684417;55.744685;37.596042;155.423477;233.456;7498922;34;Пешеходный переход наземный;55.7447;37.5954;155.35319519043;88
7684418;55.756818;37.604661;162.528152;232.934;7499604;34;Пешеходный переход наземный;55.7567;37.6049;160.729675292969;209
7684419;55.744413;37.602008;147.064651;232.548;7497400;16;Кирпич;55.7444;37.6021;146.761505126953;294
7684420;55.755252;37.600474;166.250336;232.098;7499083;34;Пешеходный переход наземный;55.7549;37.6006;161.407638549805;324
7684421;55.744331;37.601954;148.45903;231.936;7498613;34;Пешеходный переход наземный;55.7445;37.6019;146.651016235352;114
7684422;55.740665;37.591862;153.437836;230.901;7498567;34;Пешеходный переход наземный;55.7406;37.5914;151.748489379883;122
7684423;55.742623;37.603909;148.446411;230.435;7497798;25;Остановка и стоянка запрещена;55.7426;37.6036;150.116500854492;60
7684424;55.750943;37.600236;155.665833;230.429;7497322;16;Кирпич;55.7509;37.6001;154.651611328125;17
7684425;55.756089;37.607279;157.408066;230.348;7499540;34;Пешеходный переход наземный;55.7561;37.6075;156.604904174805;222
7684426;55.759189;37.611545;166.321487;229.946;7499582;34;Пешеходный переход наземный;55.7589;37.6111;163.641998291016;71
7684427;55.742072;37.603303;151.664612;229.448;7497758;34;Пешеходный переход наземный;55.742;37.6038;148.140487670898;108
7684428;55.759199;37.611535;164.727921;229.212;7496987;34;Пешеходный переход наземный;55.7591;37.6121;162.24755859375;251
7684429;55.74732;37.60386;149.490173;229.1;7500041;16;Кирпич;55.7471;37.6044;149.797546386719;11
7684430;55.740666;37.591679;153.702744;228.88;7498567;34;Пешеходный переход наземный;55.7406;37.5914;151.748489379883;161
7684431;55.738493;37.599135;145.303772;228.618;7497853;25;Остановка и стоянка запрещена;55.7385;37.5993;143.657531738281;292
7684432;55.74366;37.604096;143.234726;228.51;7497415;16;Кирпич;55.7436;37.6041;143.430633544922;291
7684433;55.752274;37.610098;155.753799;228.495;7500217;109;Подземный пешеходный переход;55.7521;37.6105;154.722946166992;278
7684434;55.749253;37.608722;152.284531;228.358;7500181;34;Пешеходный переход наземный;55.7492;37.6085;149.990814208984;221
7684435;55.739891;37.58963;151.919464;228.131;7498215;25;Остановка и стоянка запрещена;55.7401;37.5892;151.229766845703;118
7684436;55.755655;37.608825;155.550354;228.021;7499530;34;Пешеходный переход наземный;55.7559;37.6088;155.39421081543;136
7684437;55.740896;37.591827;155.813385;227.668;7498397;16;Кирпич;55.7407;37.5918;153.351669311523;309
7684438;55.744028;37.587549;158.840576;227.599;7498283;34;Пешеходный переход наземный;55.7441;37.5871;156.076126098633;150
7684439;55.744383;37.590461;157.71402;227.405;7498852;25;Остановка и стоянка запрещена;55.7441;37.5904;156.142547607422;30
7684440;55.75966;37.605539;170.20079;227.361;7499310;25;Остановка и стоянка запрещена;55.7596;37.6055;168.8125;55
7684441;55.737372;37.594873;147.478424;227.113;7498010;16;Кирпич;55.7373;37.5953;146.789566040039;286
7684442;55.757437;37.598646;169.157944;226.902;7499111;34;Пешеходный переход наземный;55.7572;37.5988;166.43376159668;352
7684443;55.762577;37.608564;175.748215;226.751;7496731;34;Пешеходный переход наземный;55.7628;37.6079;175.58235168457;39
7684444;55.737011;37.595862;146.520828;226.45;7498001;34;Пешеходный переход наземный;55.7369;37.5966;143.26399230957;282
7684445;55.755613;37.608706;156.401566;225.574;7499531;34;Пешеходный переход наземный;55.7558;37.6087;155.447265625;226
7684446;55.742286;37.600116;149.237885;225.423;7497538;25;Остановка и стоянка запрещена;55.7421;37.5997;147.050491333008;24
7684447;55.767988;37.599087;179.209976;225.221;7496647;25;Остановка и стоянка запрещена;55.7683;37.5986;178.091934204102;151
7684448;55.769547;37.59698;178.735687;225.053;7496629;34;Пешеходный переход наземный;55.7695;37.5966;176.526214599609;29
7684449;55.767044;37.600722;178.643356;224.963;7497098;34;Пешеходный переход наземный;55.7671;37.6013;178.751770019531;247
7684450;55.740203;37.590485;153.400574;224.54;7498559;34;Пешеходный переход наземный;55.7402;37.5903;151.664138793945;124
7684451;55.742654;37.596279;153.242203;224.361;7498577;34;Пешеходный переход наземный;55.7425;37.5959;151.823608398438;157
7684452;55.73999;37.589717;151.516907;224.156;7498214;34;Пешеходный переход наземный;55.7402;37.5891;151.206451416016;118
7684453;55.739255;37.60091;143.160034;223.772;7497838;34;Пешеходный переход наземный;55.7392;37.6011;141.336853027344;15
7684454;55.741172;37.602711;149.266296;223.648;7497724;16;Кирпич;55.7411;37.6027;147.572326660156;294
7684455;55.743927;37.603725;144.605988;223.181;7498951;16;Кирпич;55.7439;37.6033;144.363067626953;123
7684456;55.740436;37.599368;148.238678;222.917;7497885;25;Остановка и стоянка запрещена;55.7403;37.599;147.552398681641;39
7684457;55.752449;37.584417;160.565094;222.253;7500463;109;Подземный пешеходный переход;55.7525;37.5843;159.417694091797;270
7684458;55.760413;37.610356;172.083923;221.958;7496758;34;Пешеходный переход наземный;55.7607;37.6102;171.743087768555;254
7684459;55.756349;37.607069;157.934998;220.509;7499542;34;Пешеходный переход наземный;55.7562;37.6072;156.922698974609;229
7684460;55.749786;37.606707;156.114792;220.125;7500001;34;Пешеходный переход наземный;55.7499;37.6061;156.53742980957;106
7684461;55.744058;37.590474;156.702133;219.987;7498847;34;Пешеходный переход наземный;55.7439;37.5911;155.799591064453;278
7684462;55.75581;37.608651;155.278854;219.861;7499679;34;Пешеходный переход наземный;55.7558;37.6087;155.149688720703;45
7684463;55.756017;37.6029;165.860489;219.771;7499932;34;Пешеходный переход наземный;55.7561;37.6028;164.896713256836;275
7684464;55.752915;37.605546;161.056915;219.761;7499729;57;Осторожно дети;55.7528;37.6056;159.576583862305;23
7684465;55.753154;37.599238;160.291031;219.097;7500315;25;Остановка и стоянка запрещена;55.753;37.5997;158.96110534668;356
7684466;55.750548;37.603985;159.904221;218.825;7499985;16;Кирпич;55.7507;37.6042;158.795379638672;288
7684467;55.756894;37.615795;155.910339;217.805;7496811;34;Пешеходный переход наземный;55.757;37.6153;155.819534301758;118
7684468;55.744188;37.587292;157.745819;217.717;7498282;16;Кирпич;55.7441;37.587;156.138366699219;323
7684469;55.758402;37.612281;159.663223;217.666;7496784;34;Пешеходный переход наземный;55.7586;37.6123;159.79411315918;237
7684470;55.744688;37.596044;157.035812;217.452;7498927;34;Пешеходный переход наземный;55.7447;37.5962;154.98127746582;268
7684471;55.752912;37.605449;160.867203;217.416;7500279;34;Пешеходный переход наземный;55.7528;37.6055;159.899032592773;29
7684472;55.751017;37.600034;156.778442;216.895;7497317;16;Кирпич;55.7513;37.6005;156.136291503906;264
7684473;55.74137;37.605956;139.242325;216.759;7497589;16;Кирпич;55.7413;37.6059;138.909210205078;0
7684474;55.737488;37.601102;139.283829;216.535;7497930;25;Остановка и стоянка запрещена;55.7374;37.6011;139.394332885742;297
7684475;55.769695;37.59687;177.208374;216.531;7497136;34;Пешеходный переход наземный;55.7695;37.5969;176.773361206055;245
7684476;55.740362;37.592245;154.079132;215.94;7498389;44;Парковка;55.7401;37.5927;152.652130126953;299
7684477;55.753154;37.59933;160.313522;214.958;7500315;25;Остановка и стоянка запрещена;55.753;37.5997;158.96110534668;354
